titles,url,type,editor,dates,year,month,day
"팬스타, ‘PSBX로보틱스’ 앞세워 로봇산업 뛰어든다",https://www.klnews.co.kr/news/articleView.html?idxno=311255,해운항만,이경성 기자,2024-02-19 14:16:00,2024,2,19
"항만물류협회, ‘재해예방’ 보조사업 수행기관 선정",https://www.klnews.co.kr/news/articleView.html?idxno=311254,해운항만,이경성 기자,2024-02-19 14:16:00,2024,2,19
"IPA, ‘연간 건설현장 및 시설물 안전점검계획’ 수립",https://www.klnews.co.kr/news/articleView.html?idxno=311253,해운항만,이경성 기자,2024-02-19 14:16:00,2024,2,19
"인천공항공사, 필리핀 니노이아키노공항 개발운영 수주",https://www.klnews.co.kr/news/articleView.html?idxno=311252,항공특송포워딩,이경성 기자,2024-02-19 14:16:00,2024,2,19
[인사] 해양수산부,https://www.klnews.co.kr/news/articleView.html?idxno=311251,인사동정,이경성 기자,2024-02-19 14:16:00,2024,2,19
BPA․ ‘행복나누기 사업 업무협약’ 체결,https://www.klnews.co.kr/news/articleView.html?idxno=311250,해운항만,이경성 기자,2024-02-19 14:16:00,2024,2,19
"에어버스, 2023년 총 매출액 654억 유로 기록",https://www.klnews.co.kr/news/articleView.html?idxno=311249,항공특송포워딩,이경성 기자,2024-02-19 14:16:00,2024,2,19
"지브라 테크놀로지스, “유통업체 70% 반품 효율성 개선 압박 느껴”",https://www.klnews.co.kr/news/articleView.html?idxno=311248,BIz&Info,석한글 기자,2024-02-19 13:41:00,2024,2,19
"CBRE, 2023년 A급 물류센터 공급 37% 증가",https://www.klnews.co.kr/news/articleView.html?idxno=311247,물류거점,신인식 기자,2024-02-19 11:05:00,2024,2,19
"유류세, 4월 30일까지 2개월 연장…‘경유 37% 인하율 유지’",https://www.klnews.co.kr/news/articleView.html?idxno=311246,육상철도,석한글 기자,2024-02-19 10:49:00,2024,2,19
"‘베트남 시장 공략’ BBQ, 베트남에 배달 전문 매장 오픈",https://www.klnews.co.kr/news/articleView.html?idxno=311245,BIz&Info,허지선 기자,2024-02-19 10:36:00,2024,2,19
"바로고, 족발·프랜차이즈 ‘기대만족’ 배달 대행 수행",https://www.klnews.co.kr/news/articleView.html?idxno=311244,BIz&Info,석한글 기자,2024-02-19 10:32:00,2024,2,19
"코코넛사일로, ‘2024 AI 바우처 지원사업’ 공급기업 선정",https://www.klnews.co.kr/news/articleView.html?idxno=311243,물류IT기기,신인식 기자,2024-02-19 10:24:00,2024,2,19
"마스오토, ‘대형 트레일러’로 자율주행 실증 확대",https://www.klnews.co.kr/news/articleView.html?idxno=311242,육상철도,석한글 기자,2024-02-19 10:21:00,2024,2,19
"해양환경공단, 해양소년단연맹과 MOU",https://www.klnews.co.kr/news/articleView.html?idxno=311241,해운항만,이경성 기자,2024-02-18 16:12:00,2024,2,18
"한국해양대, 부산 글로벌 혁신 특구 간담회 진행",https://www.klnews.co.kr/news/articleView.html?idxno=311240,해운항만,이경성 기자,2024-02-18 16:12:00,2024,2,18
"YGPA, 데이터기반행정 실태점검 최고 등급",https://www.klnews.co.kr/news/articleView.html?idxno=311239,해운항만,이경성 기자,2024-02-18 16:12:00,2024,2,18
"에미레이트항공, NBA와 글로벌 파트너십 계약",https://www.klnews.co.kr/news/articleView.html?idxno=311238,항공특송포워딩,이경성 기자,2024-02-18 16:12:00,2024,2,18
"고려대 김인현 교수, 에세이 출간",https://www.klnews.co.kr/news/articleView.html?idxno=311237,인사동정,이경성 기자,2024-02-18 16:12:00,2024,2,18
[부고] 국경완 운송신문 국장 빙모상,https://www.klnews.co.kr/news/articleView.html?idxno=311236,인사동정,물류신문사,2024-02-17 21:41:00,2024,2,17
